,post_id,perc_miss_comment_author,total_num_nodes,total_density,num_weak_component,num_strong_component,main_miss_node,main_num_nodes,main_density,main_transitivity,main_avg_shortest_path,main_diameter,main_radius,main_eccentricity_mean,main_eccentrisity_std,avg_periphery_lkarma,avg_periphery_ckarma,avg_center_lkarma,avg_center_ckarma,in_degree_top_avg_lkarma,in_degree_top_avg_ckarma,out_degree_top_avg_lkarma,out_degree_top_avg_ckarma,close_top_avg_lkarma,close_top_avg_ckarma,between_top_avg_lkarma,between_top_avg_ckarma,hub_top_avg_lkarma,hub_top_avg_ckarma,auth_top_avg_lkarma,auth_top_avg_ckarma,author_lkarma,author_ckarma
3302,270t4y,0.1896551724137931,25,0.07666666666666666,1,11,0.2,15.0,0.1619047619047619,0.09210526315789473,3.880952380952381,5.0,3.0,3.933333333333333,0.573488351136175,613.5,8566.0,400.5,9239.0,766.0,14586.0,35.0,3892.0,400.5,9239.0,400.5,9239.0,1726.5,4279.5,766.0,14586.0,,
3303,270vsc,0.15517241379310345,39,0.04520917678812416,2,23,0.0,15.0,0.17142857142857143,0.18085106382978725,2.933333333333333,5.0,3.0,4.0,0.7302967433402214,4085.5,14513.75,5395.5,1013.0,1923.0,8424.0,220.0,8584.0,1923.0,8424.0,1704.0,183.0,8962.5,1933.0,220.0,8458.0,3407.0,23.0
3304,2715x3,0.1775486827033219,414,0.0030237100981389854,5,371,0.0,16.0,0.1375,0.0,5.920833333333333,7.0,4.0,5.75,0.9013878188659973,5470.666666666667,33790.0,65.5,3286.0,1404.0,27505.0,1404.0,27505.0,65.5,3286.0,442.0,5855.0,11567.5,32738.0,4752.5,35078.5,410798.0,4462.0
3305,27188p,0.20930232558139536,22,0.05194805194805195,2,18,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,271a5p,0.19342359767891681,244,0.00549821223773865,5,217,0.1,10.0,0.2111111111111111,0.0,3.2444444444444445,5.0,3.0,3.7,0.6403124237432849,5197.0,1194.0,236.66666666666666,68939.66666666667,6.0,12487.0,6.0,12487.0,6.0,12487.0,6.0,12487.0,,,625.0,61330.0,558975.0,5056.0
3307,271lhj,0.26156941649899396,105,0.01694139194139194,2,67,0.06060606060606061,33.0,0.07954545454545454,0.1206896551724138,5.026515151515151,7.0,4.0,5.575757575757576,0.69762814746796,1022.6666666666666,48916.0,753.0,30149.0,4262.0,21100.0,6874.666666666667,37689.333333333336,4535.333333333333,18810.333333333332,525.0,21254.0,4607.333333333333,41171.0,1357.3333333333333,34479.666666666664,148256.0,543.0
3308,271nlx,0.1111111111111111,14,0.07142857142857142,2,13,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,271sqr,0.2624113475177305,53,0.021407837445573296,6,42,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,271yh1,0.15123456790123457,73,0.02968036529680365,1,32,0.15,40.0,0.07243589743589744,0.1,6.648076923076923,12.0,4.0,7.55,2.9576172842340505,12283.166666666666,20275.833333333332,7298.0,37025.2,2632.5,21064.75,1225.25,25367.5,2309.3333333333335,25512.0,1615.6666666666667,32864.0,17822.75,29303.25,2632.5,21064.75,12073.0,8415.0
3311,27210v,0.21428571428571427,15,0.0761904761904762,2,13,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2722xx,0.0,13,0.10256410256410256,1,10,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3313,2727b3,0.37037037037037035,20,0.05,2,19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3314,272l21,0.1702127659574468,27,0.039886039886039885,3,23,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,272t78,0.1794871794871795,25,0.04833333333333333,1,22,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3316,272u4p,0.21296296296296297,40,0.03782051282051282,2,28,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3317,27392j,0.15944272445820434,786,0.0015267175572519084,7,696,0.0,62.0,0.03225806451612903,0.003105590062111801,7.837123215230037,18.0,7.0,13.096774193548388,2.899998205891296,503.0,5806.333333333333,18993.0,106174.5,3997.1666666666665,116754.66666666667,12323.666666666666,152519.5,2992.3333333333335,124568.16666666667,5426.833333333333,116862.33333333333,14231.166666666666,114571.16666666667,7715.5,118570.5,4389.0,8.0
3318,2739vu,0.22321428571428573,58,0.020871143375680582,2,49,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3319,273d5h,0.2631578947368421,35,0.03361344537815126,4,28,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3320,273h1z,0.25196850393700787,30,0.04252873563218391,2,23,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,273ike,0.21693121693121692,261,0.0049661066902446215,10,220,0.0,17.0,0.1213235294117647,0.0,3.761029411764706,6.0,3.0,5.117647058823529,0.8998269729869621,14140.285714285714,157881.14285714287,52.0,31235.0,3489.0,56983.0,3489.0,56983.0,7469.5,70538.5,5076.0,110789.5,4553.5,8982.0,2618.5,12867.5,4137.0,6903.0
3322,273mnw,0.11627906976744186,29,0.03940886699507389,2,25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,273o02,0.2704626334519573,99,0.01412079983508555,3,82,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,273vwt,0.17777777777777778,24,0.04528985507246377,2,21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,27418h,0.15753424657534246,46,0.03671497584541063,1,24,0.09090909090909091,11.0,0.18181818181818182,0.0,3.963636363636364,5.0,3.0,4.090909090909091,0.6680426571226848,78278.66666666667,19881.666666666668,57643.5,61472.0,100092.0,105913.0,100092.0,105913.0,100092.0,105913.0,100092.0,105913.0,6600.0,41751.0,100092.0,105913.0,482481.0,36754.0
3326,2744sh,0.2777777777777778,20,0.05526315789473684,2,17,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,274542,0.11504424778761062,44,0.03805496828752643,1,30,0.07142857142857142,14.0,0.17032967032967034,0.13513513513513514,3.4945054945054945,6.0,3.0,4.714285714285714,0.7953949089757174,16336.5,123621.0,23390.0,231860.0,,,,,9.0,4742.0,,,3274.0,50969.0,,,228478.0,809.0
3328,274hy7,0.23076923076923078,8,0.17857142857142858,1,6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3329,274j0n,0.21153846153846154,28,0.03835978835978836,2,25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,274kox,0.14285714285714285,36,0.027777777777777776,4,33,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3331,274lfb,0.20588235294117646,97,0.011597938144329897,8,83,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,274mad,0.023255813953488372,17,0.06985294117647059,1,14,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,274oup,0.17739925218113833,1155,0.0011674056734715314,8,974,0.07633587786259542,131.0,0.019377568995889608,0.0484375,6.447386964180858,14.0,8.0,10.076335877862595,1.109420594330659,2577.0,50129.0,6107.166666666667,65180.0,46035.0,25360.727272727272,7935.222222222223,21591.222222222223,49429.4,29755.0,9136.166666666666,35595.583333333336,13283.0,50346.0,7923.555555555556,24819.333333333332,8434.0,5283.0
3334,274q1y,0.3333333333333333,3,0.3333333333333333,1,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,274rix,0.19101123595505617,129,0.015201065891472867,1,68,0.21311475409836064,61.0,0.04426229508196721,0.0989399293286219,5.580601092896175,9.0,5.0,6.770491803278689,0.9124537737754588,118.5,133283.0,7815.0,78997.66666666667,3622.0,49166.5,13518.0,152625.5,1850.0,38134.5,10211.333333333334,110064.33333333333,4056.3333333333335,46504.333333333336,4056.3333333333335,46504.333333333336,,
3336,2756gp,0.15538847117794485,221,0.005491567256273138,6,189,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3337,275fuc,0.24178403755868544,155,0.00854629241726016,4,120,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,275mij,0.21428571428571427,8,0.16071428571428573,1,6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,275qvh,0.1076923076923077,24,0.07427536231884058,1,18,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3340,275vsm,0.14893617021276595,24,0.050724637681159424,2,18,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3341,2764jf,0.125,21,0.05,1,21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,2768rd,0.09322033898305085,35,0.058823529411764705,1,13,0.08695652173913043,23.0,0.11067193675889328,0.18253968253968253,5.136363636363637,8.0,4.0,6.043478260869565,1.0825999650424987,4938.5,27495.5,2413.0,46240.0,25596.0,9418.0,4825.0,92440.0,25596.0,9418.0,4825.0,92440.0,42283.0,9092.0,23554.0,50766.0,25596.0,9418.0
3343,2768su,0.18100358422939067,226,0.006037364798426746,6,171,0.0,31.0,0.07096774193548387,0.04216867469879518,5.688172043010753,11.0,4.0,6.548387096774194,1.5416520187546474,278.0,3463.0,5233.0,21425.0,24134.0,114742.0,20615.666666666668,86649.66666666667,24134.0,114742.0,20738.333333333332,93614.66666666667,19091.0,113144.66666666667,1115.6666666666667,44716.0,558975.0,5056.0
3344,2768vt,0.3333333333333333,9,0.18055555555555555,1,8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,276kgb,0.12690355329949238,110,0.01134278565471226,1,97,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3346,276kjg,0.16304347826086957,62,0.02749867794817557,1,43,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,276ooa,0.23214285714285715,28,0.042328042328042326,3,24,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3348,276tor,0.25984251968503935,60,0.02711864406779661,3,35,0.08333333333333333,24.0,0.09420289855072464,0.0,6.827898550724638,10.0,4.0,7.041666666666667,1.6451739185333025,28749.0,63971.0,3254.0,16505.0,1708.0,46676.0,1708.0,46676.0,74.5,24441.5,2260.5,8500.0,74.5,24441.5,3018.0,73396.5,2497260.0,170881.0
